year,scam_type,case_count,total_cases_year,prevalence_weight,avg_loss_per_victim_php,loss_data_type,total_loss_php_est,fhi_score,source_cases,avg_loss_source
2024,Online Selling,3025,14529,0.2082,11896.3,confirmed,35986307.5,2476.81,Inquirer / PNP-ACG (newsinfo.inquirer.net/2103620),GASA PH 2025 (gasa.org/knowledge-base/reports/state-of-scams-in-the-philippines-2025)
2024,Investment/Tasking,1101,14529,0.0758,11896.3,confirmed,13097826.3,901.74,Inquirer / PNP-ACG (newsinfo.inquirer.net/2103620),GASA PH 2025 (gasa.org/knowledge-base/reports/state-of-scams-in-the-philippines-2025)
2024,Vishing,589,14529,0.0405,11896.3,confirmed,7006920.7,481.8,Inquirer / PNP-ACG (newsinfo.inquirer.net/2103620),GASA PH 2025 (gasa.org/knowledge-base/reports/state-of-scams-in-the-philippines-2025)
2024,Travel Scam,253,14529,0.0174,11896.3,confirmed,3009763.9,207.0,Inquirer / PNP-ACG (newsinfo.inquirer.net/2103620),GASA PH 2025 (gasa.org/knowledge-base/reports/state-of-scams-in-the-philippines-2025)
2025,Online Selling,1630,3941,0.4136,11896.3,confirmed,19390969.0,4920.31,Psbalita / PNP-ACG (psbalita.com/online-scams-bumaba-sa-pagtatapos-ng-2025-pnp-acg/),GASA PH 2025 (gasa.org/knowledge-base/reports/state-of-scams-in-the-philippines-2025)
2025,Investment/Tasking,589,3941,0.1495,11896.3,confirmed,7006920.7,1778.5,Psbalita / PNP-ACG (psbalita.com/online-scams-bumaba-sa-pagtatapos-ng-2025-pnp-acg/),GASA PH 2025 (gasa.org/knowledge-base/reports/state-of-scams-in-the-philippines-2025)
2025,Vishing,431,3941,0.1094,11896.3,confirmed,5127305.3,1301.46,Psbalita / PNP-ACG (psbalita.com/online-scams-bumaba-sa-pagtatapos-ng-2025-pnp-acg/),GASA PH 2025 (gasa.org/knowledge-base/reports/state-of-scams-in-the-philippines-2025)
2025,Hijacked Profile/ID,326,3941,0.0827,11896.3,confirmed,3878193.8,983.82,Psbalita / PNP-ACG (psbalita.com/online-scams-bumaba-sa-pagtatapos-ng-2025-pnp-acg/),GASA PH 2025 (gasa.org/knowledge-base/reports/state-of-scams-in-the-philippines-2025)
2025,Loan/Lending Scam,251,3941,0.0637,11896.3,confirmed,2985971.3,757.79,Psbalita / PNP-ACG (psbalita.com/online-scams-bumaba-sa-pagtatapos-ng-2025-pnp-acg/),GASA PH 2025 (gasa.org/knowledge-base/reports/state-of-scams-in-the-philippines-2025)
